proteinId	go_term_id	go_term_type	go_name	go_acc
50964	22281	molecular_function	dolichyldiphosphatase activity	GO:0047874
50964	9320	cellular_component	membrane	GO:0016020
50964	2290	molecular_function	catalytic activity	GO:0003824
53384	6138	molecular_function	sphinganine kinase activity	GO:0008481
53384	5289	biological_process	activation of protein kinase C activity	GO:0007205
53384	2581	molecular_function	diacylglycerol kinase activity	GO:0004143
53384	5830	biological_process	metabolic process	GO:0008152
53384	2404	molecular_function	NAD+ kinase activity	GO:0003951
64293	2826	molecular_function	1-phosphatidylinositol 4-kinase activity	GO:0004430
64347	2826	molecular_function	1-phosphatidylinositol 4-kinase activity	GO:0004430
64936	2826	molecular_function	1-phosphatidylinositol 4-kinase activity	GO:0004430
74929	9985	molecular_function	hydrolase activity	GO:0016787
75365	5849	molecular_function	O-methyltransferase activity	GO:0008171
77894	4143	biological_process	carbohydrate metabolic process	GO:0005975
77894	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
77922	5939	molecular_function	zinc ion binding	GO:0008270
78407	9320	cellular_component	membrane	GO:0016020
82066	3052	molecular_function	protein kinase CK2 activity	GO:0004682
82066	4602	biological_process	protein amino acid phosphorylation	GO:0006468
82066	3736	molecular_function	ATP binding	GO:0005524
82066	3043	molecular_function	protein kinase activity	GO:0004672
82066	3079	molecular_function	protein-tyrosine kinase activity	GO:0004713
83735	12251	molecular_function	heme binding	GO:0020037
83735	4283	biological_process	electron transport	GO:0006118
83735	3721	molecular_function	iron ion binding	GO:0005506
83735	2888	molecular_function	monooxygenase activity	GO:0004497
85095	9321	cellular_component	integral to membrane	GO:0016021
85095	3032	molecular_function	prenyltransferase activity	GO:0004659
85653	5939	molecular_function	zinc ion binding	GO:0008270
85653	3727	molecular_function	protein binding	GO:0005515
85664	3838	cellular_component	nucleus	GO:0005634
86989	9321	cellular_component	integral to membrane	GO:0016021
86989	8790	molecular_function	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	GO:0015450
86989	6903	biological_process	protein secretion	GO:0009306
88585	6429	molecular_function	cellulase activity	GO:0008810
88585	4143	biological_process	carbohydrate metabolic process	GO:0005975
88585	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
88643	6429	molecular_function	cellulase activity	GO:0008810
88643	4143	biological_process	carbohydrate metabolic process	GO:0005975
88643	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
96168	2625	molecular_function	carboxypeptidase D activity	GO:0004187
96168	4639	biological_process	proteolysis	GO:0006508
96168	2623	molecular_function	serine carboxypeptidase activity	GO:0004185
116800	5849	molecular_function	O-methyltransferase activity	GO:0008171
117028	5849	molecular_function	O-methyltransferase activity	GO:0008171
120134	9320	cellular_component	membrane	GO:0016020
130289	3708	molecular_function	binding	GO:0005488
131249	2343	molecular_function	ATP adenylyltransferase activity	GO:0003877
131249	2290	molecular_function	catalytic activity	GO:0003824
133607	9710	molecular_function	oxidoreductase activity	GO:0016491
133607	5830	biological_process	metabolic process	GO:0008152
133865	10145	molecular_function	thiol oxidase activity	GO:0016972
136066	9510	molecular_function	beta-N-acetylglucosaminidase activity	GO:0016231
136066	2941	molecular_function	beta-N-acetylhexosaminidase activity	GO:0004563
137625	5830	biological_process	metabolic process	GO:0008152
138729	9985	molecular_function	hydrolase activity	GO:0016787
142091	3838	cellular_component	nucleus	GO:0005634
142411	2445	molecular_function	acyl-CoA oxidase activity	GO:0003997
142411	9834	molecular_function	oxidoreductase activity, acting on the CH-CH group of donors	GO:0016627
142411	4283	biological_process	electron transport	GO:0006118
142411	5830	biological_process	metabolic process	GO:0008152
142580	2445	molecular_function	acyl-CoA oxidase activity	GO:0003997
142580	9834	molecular_function	oxidoreductase activity, acting on the CH-CH group of donors	GO:0016627
142580	4283	biological_process	electron transport	GO:0006118
142580	5830	biological_process	metabolic process	GO:0008152
144087	9321	cellular_component	integral to membrane	GO:0016021
144087	5270	biological_process	G-protein coupled receptor protein signaling pathway	GO:0007186
144087	3284	molecular_function	mating-type factor pheromone receptor activity	GO:0004932
146816	5908	molecular_function	serine-type peptidase activity	GO:0008236
146816	4639	biological_process	proteolysis	GO:0006508
147406	25109	molecular_function	histone demethylase activity (H3-K36 specific)	GO:0051864
147749	2175	molecular_function	nucleic acid binding	GO:0003676
147867	2216	molecular_function	RNA binding	GO:0003723
147867	3708	molecular_function	binding	GO:0005488
155386	12251	molecular_function	heme binding	GO:0020037
155386	4283	biological_process	electron transport	GO:0006118
155386	3721	molecular_function	iron ion binding	GO:0005506
155386	2888	molecular_function	monooxygenase activity	GO:0004497
161876	10024	molecular_function	lyase activity	GO:0016829
161876	281	molecular_function	magnesium ion binding	GO:0000287
162223	10024	molecular_function	lyase activity	GO:0016829
162223	281	molecular_function	magnesium ion binding	GO:0000287
163455	5939	molecular_function	zinc ion binding	GO:0008270
163455	3827	cellular_component	intracellular	GO:0005622
163455	2175	molecular_function	nucleic acid binding	GO:0003676
169631	10024	molecular_function	lyase activity	GO:0016829
169631	281	molecular_function	magnesium ion binding	GO:0000287
180909	24515	molecular_function	sirohydrochlorin ferrochelatase activity	GO:0051266
180909	18607	molecular_function	precorrin-2 dehydrogenase activity	GO:0043115
180909	4896	biological_process	porphyrin biosynthetic process	GO:0006779
182050	2806	molecular_function	holocytochrome-c synthase activity	GO:0004408
182050	3931	cellular_component	mitochondrion	GO:0005739
182072	4123	cellular_component	cAMP-dependent protein kinase complex	GO:0005952
182072	3058	molecular_function	cAMP-dependent protein kinase activity	GO:0004691
182072	3052	molecular_function	protein kinase CK2 activity	GO:0004682
182072	4602	biological_process	protein amino acid phosphorylation	GO:0006468
182072	3736	molecular_function	ATP binding	GO:0005524
182072	3043	molecular_function	protein kinase activity	GO:0004672
182072	3045	molecular_function	protein serine/threonine kinase activity	GO:0004674
183362	3724	molecular_function	calcium ion binding	GO:0005509
186307	19656	molecular_function	glutamate synthase activity, NADH or NADPH as acceptor	GO:0045181
186307	9339	molecular_function	glutamate synthase (NADH) activity	GO:0016040
186307	6939	cellular_component	glutamate synthase complex (NADPH)	GO:0009342
186307	2761	molecular_function	glutamate synthase (NADPH) activity	GO:0004355
186307	5830	biological_process	metabolic process	GO:0008152
186409	5939	molecular_function	zinc ion binding	GO:0008270
186409	4504	biological_process	regulation of transcription, DNA-dependent	GO:0006355
186409	3838	cellular_component	nucleus	GO:0005634
186409	2196	molecular_function	transcription factor activity	GO:0003700
192256	2951	molecular_function	oligo-1,6-glucosidase activity	GO:0004574
192256	2937	molecular_function	alpha-glucosidase activity	GO:0004558
192256	18659	molecular_function	cation binding	GO:0043169
192256	4143	biological_process	carbohydrate metabolic process	GO:0005975
192256	2290	molecular_function	catalytic activity	GO:0003824
207072	9320	cellular_component	membrane	GO:0016020
207072	6276	biological_process	carbohydrate transport	GO:0008643
207072	3642	molecular_function	sugar:hydrogen symporter activity	GO:0005351
207072	9321	cellular_component	integral to membrane	GO:0016021
207072	4927	biological_process	transport	GO:0006810
207072	3546	molecular_function	transporter activity	GO:0005215
209794	3737	molecular_function	GTP binding	GO:0005525
210145	9321	cellular_component	integral to membrane	GO:0016021
210145	4927	biological_process	transport	GO:0006810
210145	3546	molecular_function	transporter activity	GO:0005215
211352	9320	cellular_component	membrane	GO:0016020
211352	8535	molecular_function	amino acid transmembrane transporter activity	GO:0015171
211352	4977	biological_process	amino acid transport	GO:0006865
211352	9321	cellular_component	integral to membrane	GO:0016021
211352	4927	biological_process	transport	GO:0006810
212385	3670	molecular_function	calcium-transporting ATPase activity	GO:0005388
212385	9320	cellular_component	membrane	GO:0016020
212385	8976	molecular_function	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	GO:0015662
212385	4927	biological_process	transport	GO:0006810
212385	3736	molecular_function	ATP binding	GO:0005524
212385	4929	biological_process	cation transport	GO:0006812
212385	8451	molecular_function	calcium ion transmembrane transporter activity	GO:0015085
212385	4933	biological_process	calcium ion transport	GO:0006816
212385	3724	molecular_function	calcium ion binding	GO:0005509
212385	10015	molecular_function	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	GO:0016820
212819	12251	molecular_function	heme binding	GO:0020037
212819	4283	biological_process	electron transport	GO:0006118
212819	3721	molecular_function	iron ion binding	GO:0005506
212819	2888	molecular_function	monooxygenase activity	GO:0004497
214522	7026	biological_process	NAD biosynthetic process	GO:0009435
214522	2905	molecular_function	nicotinate-nucleotide diphosphorylase (carboxylating) activity	GO:0004514
214522	11623	biological_process	nicotinate nucleotide biosynthetic process	GO:0019357
214522	2907	molecular_function	nicotinate phosphoribosyltransferase activity	GO:0004516
214522	11629	biological_process	pyridine nucleotide biosynthetic process	GO:0019363
215090	4283	biological_process	electron transport	GO:0006118
215090	3931	cellular_component	mitochondrion	GO:0005739
215090	2567	molecular_function	cytochrome-c oxidase activity	GO:0004129
215146	13011	cellular_component	membrane coat	GO:0030117
215146	9480	biological_process	vesicle-mediated transport	GO:0016192
215146	4994	biological_process	intracellular protein transport	GO:0006886
215146	4595	biological_process	protein complex assembly	GO:0006461
215146	3727	molecular_function	protein binding	GO:0005515
215146	3708	molecular_function	binding	GO:0005488
221602	5939	molecular_function	zinc ion binding	GO:0008270
221602	2175	molecular_function	nucleic acid binding	GO:0003676
221611	23624	molecular_function	tryptophan transaminase activity	GO:0050362
221611	21947	molecular_function	2-aminoadipate transaminase activity	GO:0047536
221611	6413	molecular_function	aromatic-amino-acid transaminase activity	GO:0008793
221611	3198	molecular_function	tyrosine transaminase activity	GO:0004838
222733	23553	molecular_function	sphingosine N-acyltransferase activity	GO:0050291
222733	9321	cellular_component	integral to membrane	GO:0016021
222803	2175	molecular_function	nucleic acid binding	GO:0003676
228800	5939	molecular_function	zinc ion binding	GO:0008270
228800	4504	biological_process	regulation of transcription, DNA-dependent	GO:0006355
228800	3838	cellular_component	nucleus	GO:0005634
228800	2196	molecular_function	transcription factor activity	GO:0003700
229735	5939	molecular_function	zinc ion binding	GO:0008270
229735	3827	cellular_component	intracellular	GO:0005622
229735	2175	molecular_function	nucleic acid binding	GO:0003676
230118	24589	biological_process	regulation of cyclic-nucleotide phosphodiesterase activity	GO:0051342
230118	2553	molecular_function	"3',5'-cyclic-nucleotide phosphodiesterase activity"	GO:0004114
230118	4360	biological_process	cAMP catabolic process	GO:0006198
230118	2554	molecular_function	"3',5'-cyclic-AMP phosphodiesterase activity"	GO:0004115
230118	9985	molecular_function	hydrolase activity	GO:0016787
230613	24507	biological_process	protein polymerization	GO:0051258
230613	18722	cellular_component	protein complex	GO:0043234
235979	5849	molecular_function	O-methyltransferase activity	GO:0008171
238028	3737	molecular_function	GTP binding	GO:0005525
238481	3737	molecular_function	GTP binding	GO:0005525
238764	3052	molecular_function	protein kinase CK2 activity	GO:0004682
238764	4602	biological_process	protein amino acid phosphorylation	GO:0006468
238764	3736	molecular_function	ATP binding	GO:0005524
238764	3043	molecular_function	protein kinase activity	GO:0004672
238764	3045	molecular_function	protein serine/threonine kinase activity	GO:0004674
242384	5939	molecular_function	zinc ion binding	GO:0008270
242384	3827	cellular_component	intracellular	GO:0005622
242384	2175	molecular_function	nucleic acid binding	GO:0003676
245981	12091	molecular_function	rRNA binding	GO:0019843
245981	3827	cellular_component	intracellular	GO:0005622
245981	2216	molecular_function	RNA binding	GO:0003723
254163	5113	biological_process	microtubule-based movement	GO:0007018
254163	4051	cellular_component	microtubule associated complex	GO:0005875
254163	3736	molecular_function	ATP binding	GO:0005524
254163	2244	molecular_function	microtubule motor activity	GO:0003777
258389	10154	molecular_function	mannan endo-1,4-beta-mannosidase activity	GO:0016985
258389	4143	biological_process	carbohydrate metabolic process	GO:0005975
258389	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
260365	3737	molecular_function	GTP binding	GO:0005525
261454	2474	molecular_function	aldehyde dehydrogenase [NAD(P)+] activity	GO:0004030
261454	2473	molecular_function	aldehyde dehydrogenase (NAD) activity	GO:0004029
261454	4249	biological_process	aldehyde metabolic process	GO:0006081
261454	9710	molecular_function	oxidoreductase activity	GO:0016491
261454	5830	biological_process	metabolic process	GO:0008152
265458	3737	molecular_function	GTP binding	GO:0005525
268384	9320	cellular_component	membrane	GO:0016020
268384	8535	molecular_function	amino acid transmembrane transporter activity	GO:0015171
268384	4977	biological_process	amino acid transport	GO:0006865
268572	5848	molecular_function	N-methyltransferase activity	GO:0008170
268572	4772	biological_process	phospholipid metabolic process	GO:0006644
272249	3052	molecular_function	protein kinase CK2 activity	GO:0004682
272249	4602	biological_process	protein amino acid phosphorylation	GO:0006468
272249	3736	molecular_function	ATP binding	GO:0005524
272249	3043	molecular_function	protein kinase activity	GO:0004672
272249	5323	biological_process	intracellular signaling cascade	GO:0007242
272249	3045	molecular_function	protein serine/threonine kinase activity	GO:0004674
272390	24310	biological_process	regulation of small GTPase mediated signal transduction	GO:0051056
272390	3827	cellular_component	intracellular	GO:0005622
272390	3432	molecular_function	GTPase activator activity	GO:0005096
272390	3708	molecular_function	binding	GO:0005488
273965	9563	molecular_function	glycerone-phosphate O-acyltransferase activity	GO:0016287
273965	2772	molecular_function	glycerol-3-phosphate O-acyltransferase activity	GO:0004366
273965	6075	molecular_function	acyltransferase activity	GO:0008415
273965	5830	biological_process	metabolic process	GO:0008152
274131	3708	molecular_function	binding	GO:0005488
274660	3708	molecular_function	binding	GO:0005488
276419	5939	molecular_function	zinc ion binding	GO:0008270
276419	3727	molecular_function	protein binding	GO:0005515
276821	16888	molecular_function	RNA polymerase activity	GO:0034062
276821	2359	molecular_function	DNA-directed RNA polymerase III activity	GO:0003902
276821	2358	molecular_function	DNA-directed RNA polymerase II activity	GO:0003901
276821	2357	molecular_function	DNA-directed RNA polymerase I activity	GO:0003900
276821	2356	molecular_function	DNA-directed RNA polymerase activity	GO:0003899
277761	3737	molecular_function	GTP binding	GO:0005525
281237	5830	biological_process	metabolic process	GO:0008152
281237	5765	molecular_function	N-acetyltransferase activity	GO:0008080
281483	9321	cellular_component	integral to membrane	GO:0016021
281483	3032	molecular_function	prenyltransferase activity	GO:0004659
281931	5939	molecular_function	zinc ion binding	GO:0008270
282013	9986	molecular_function	hydrolase activity, acting on ester bonds	GO:0016788
282013	4758	biological_process	lipid metabolic process	GO:0006629
283576	2607	molecular_function	dolichyl-phosphate-mannose-protein mannosyltransferase activity	GO:0004169
283576	9320	cellular_component	membrane	GO:0016020
283576	4624	biological_process	protein amino acid O-linked glycosylation	GO:0006493
283576	45	molecular_function	mannosyltransferase activity	GO:0000030
284280	2175	molecular_function	nucleic acid binding	GO:0003676
284280	2216	molecular_function	RNA binding	GO:0003723
284280	3708	molecular_function	binding	GO:0005488
290297	2290	molecular_function	catalytic activity	GO:0003824
296208	5905	molecular_function	peptidase activity	GO:0008233
296208	4639	biological_process	proteolysis	GO:0006508
296208	3838	cellular_component	nucleus	GO:0005634
296977	3085	molecular_function	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	GO:0004719
296977	4598	biological_process	protein modification process	GO:0006464
298428	9836	molecular_function	12-oxophytodienoate reductase activity	GO:0016629
298428	9710	molecular_function	oxidoreductase activity	GO:0016491
298428	7744	molecular_function	FMN binding	GO:0010181
298680	2634	molecular_function	saccharopepsin activity	GO:0004196
298680	4639	biological_process	proteolysis	GO:0006508
298680	2632	molecular_function	pepsin A activity	GO:0004194
298680	2628	molecular_function	aspartic-type endopeptidase activity	GO:0004190
305896	2441	molecular_function	acid phosphatase activity	GO:0003993
308908	4692	biological_process	proline catabolic process	GO:0006562
308908	4667	biological_process	glutamate biosynthetic process	GO:0006537
308908	3030	molecular_function	proline dehydrogenase activity	GO:0004657
328124	2403	molecular_function	NAD+ ADP-ribosyltransferase activity	GO:0003950
328124	3838	cellular_component	nucleus	GO:0005634
328266	2216	molecular_function	RNA binding	GO:0003723
328266	3708	molecular_function	binding	GO:0005488
331469	2392	molecular_function	IMP dehydrogenase activity	GO:0003938
331469	2290	molecular_function	catalytic activity	GO:0003824
331469	4339	biological_process	GMP biosynthetic process	GO:0006177
335225	3004	molecular_function	phospholipase D activity	GO:0004630
335225	5830	biological_process	metabolic process	GO:0008152
335225	2290	molecular_function	catalytic activity	GO:0003824
335733	11290	molecular_function	guanyl nucleotide binding	GO:0019001
335733	5270	biological_process	G-protein coupled receptor protein signaling pathway	GO:0007186
335733	3228	molecular_function	signal transducer activity	GO:0004871
335733	5250	biological_process	signal transduction	GO:0007165
335912	279	molecular_function	1-phosphatidylinositol-3-phosphate 5-kinase activity	GO:0000285
335912	20924	biological_process	phosphatidylinositol metabolic process	GO:0046488
335912	9578	molecular_function	phosphatidylinositol phosphate kinase activity	GO:0016307
338234	9320	cellular_component	membrane	GO:0016020
338234	4927	biological_process	transport	GO:0006810
338234	3546	molecular_function	transporter activity	GO:0005215
339165	23368	molecular_function	L-gulonolactone oxidase activity	GO:0050105
339165	2351	molecular_function	D-arabinono-1,4-lactone oxidase activity	GO:0003885
339165	23919	molecular_function	FAD binding	GO:0050660
339165	9710	molecular_function	oxidoreductase activity	GO:0016491
339165	9320	cellular_component	membrane	GO:0016020
339165	10094	molecular_function	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	GO:0016899
339165	6667	biological_process	biosynthetic process	GO:0009058
339165	2290	molecular_function	catalytic activity	GO:0003824
339928	5876	biological_process	steroid metabolic process	GO:0008202
341217	2456	molecular_function	phospholipid-translocating ATPase activity	GO:0004012
341217	10015	molecular_function	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	GO:0016820
341217	9320	cellular_component	membrane	GO:0016020
341217	3736	molecular_function	ATP binding	GO:0005524
341217	9321	cellular_component	integral to membrane	GO:0016021
341217	9220	biological_process	phospholipid transport	GO:0015914
341217	281	molecular_function	magnesium ion binding	GO:0000287
341217	8976	molecular_function	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	GO:0015662
341217	4927	biological_process	transport	GO:0006810
342492	12251	molecular_function	heme binding	GO:0020037
342492	4283	biological_process	electron transport	GO:0006118
342492	3721	molecular_function	iron ion binding	GO:0005506
342492	2888	molecular_function	monooxygenase activity	GO:0004497
346453	5945	molecular_function	protein methyltransferase activity	GO:0008276
346453	4612	biological_process	protein amino acid methylation	GO:0006479
347876	2634	molecular_function	saccharopepsin activity	GO:0004196
347876	2631	molecular_function	cathepsin E activity	GO:0004193
347876	4639	biological_process	proteolysis	GO:0006508
347876	2632	molecular_function	pepsin A activity	GO:0004194
347876	2628	molecular_function	aspartic-type endopeptidase activity	GO:0004190
348041	4598	biological_process	protein modification process	GO:0006464
348041	5021	biological_process	apoptosis	GO:0006915
348041	3727	molecular_function	protein binding	GO:0005515
349274	19030	molecular_function	sequence-specific DNA binding	GO:0043565
349274	4504	biological_process	regulation of transcription, DNA-dependent	GO:0006355
349274	3838	cellular_component	nucleus	GO:0005634
349274	2196	molecular_function	transcription factor activity	GO:0003700
349618	17567	molecular_function	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	GO:0042027
349618	12948	molecular_function	FK506-sensitive peptidyl-prolyl cis-trans isomerase	GO:0030051
349618	2975	molecular_function	cyclophilin	GO:0004600
349618	2233	molecular_function	peptidyl-prolyl cis-trans isomerase activity	GO:0003755
349618	4591	biological_process	protein folding	GO:0006457
352823	5250	biological_process	signal transduction	GO:0007165
352823	3827	cellular_component	intracellular	GO:0005622
354136	24336	molecular_function	unfolded protein binding	GO:0051082
354136	4591	biological_process	protein folding	GO:0006457
354136	3736	molecular_function	ATP binding	GO:0005524
354136	19405	biological_process	cellular protein metabolic process	GO:0044267
354136	3727	molecular_function	protein binding	GO:0005515
357977	2744	molecular_function	glucan 1,3-beta-glucosidase activity	GO:0004338
357977	4143	biological_process	carbohydrate metabolic process	GO:0005975
357977	2933	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
358723	2595	molecular_function	dihydropyrimidinase activity	GO:0004157
358723	10005	molecular_function	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	GO:0016810
360246	10082	molecular_function	ATPase activity	GO:0016887
360246	3736	molecular_function	ATP binding	GO:0005524
360246	10269	molecular_function	nucleoside-triphosphatase activity	GO:0017111
360246	162	molecular_function	nucleotide binding	GO:0000166
365741	3736	molecular_function	ATP binding	GO:0005524
365741	2176	molecular_function	DNA binding	GO:0003677
365741	2792	molecular_function	helicase activity	GO:0004386
365741	2175	molecular_function	nucleic acid binding	GO:0003676
365741	3708	molecular_function	binding	GO:0005488
366158	4443	biological_process	base-excision repair	GO:0006284
366158	3202	molecular_function	uracil DNA N-glycosylase activity	GO:0004844
366202	14875	cellular_component	small subunit processome	GO:0032040
366202	4513	biological_process	rRNA processing	GO:0006364
367046	5939	molecular_function	zinc ion binding	GO:0008270
367046	3727	molecular_function	protein binding	GO:0005515
367046	2175	molecular_function	nucleic acid binding	GO:0003676
368552	4541	biological_process	RNA processing	GO:0006396
368552	2915	molecular_function	ribonuclease III activity	GO:0004525
368552	2216	molecular_function	RNA binding	GO:0003723
368552	3736	molecular_function	ATP binding	GO:0005524
368552	2792	molecular_function	helicase activity	GO:0004386
368552	2175	molecular_function	nucleic acid binding	GO:0003676
368552	5716	molecular_function	ATP-dependent helicase activity	GO:0008026
372258	2747	molecular_function	gluconolactonase activity	GO:0004341
375891	5344	biological_process	small GTPase mediated signal transduction	GO:0007264
375891	3827	cellular_component	intracellular	GO:0005622
375891	3737	molecular_function	GTP binding	GO:0005525
376666	9710	molecular_function	oxidoreductase activity	GO:0016491
