"ProteinID"	"GOTerm"
161876	"GO:0016829,GO:0000287"
162223	"GO:0016829,GO:0000287"
163455	"GO:0008270,GO:0005622,GO:0003676"
169631	"GO:0016829,GO:0000287"
180909	"GO:0051266,GO:0043115,GO:0006779"
182050	"GO:0004408,GO:0005739"
182072	"GO:0005952,GO:0004691,GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
183362	"GO:0005509"
186307	"GO:0045181,GO:0016040,GO:0009342,GO:0004355,GO:0008152"
186409	"GO:0008270,GO:0006355,GO:0005634,GO:0003700"
192256	"GO:0004574,GO:0004558,GO:0043169,GO:0005975,GO:0003824"
207072	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
209794	"GO:0005525"
210145	"GO:0016021,GO:0006810,GO:0005215"
211352	"GO:0016020,GO:0015171,GO:0006865,GO:0016021,GO:0006810"
212385	"GO:0005388,GO:0016020,GO:0015662,GO:0006810,GO:0005524,GO:0006812,GO:0015085,GO:0006816,GO:0005509,GO:0016820"
212819	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
214522	"GO:0009435,GO:0004514,GO:0019357,GO:0004516,GO:0019363"
215090	"GO:0006118,GO:0005739,GO:0004129"
215146	"GO:0030117,GO:0016192,GO:0006886,GO:0006461,GO:0005515,GO:0005488"
221602	"GO:0008270,GO:0003676"
221611	"GO:0050362,GO:0047536,GO:0008793,GO:0004838"
222733	"GO:0050291,GO:0016021"
222803	"GO:0003676"
228800	"GO:0008270,GO:0006355,GO:0005634,GO:0003700"
229735	"GO:0008270,GO:0005622,GO:0003676"
230118	"GO:0051342,GO:0004114,GO:0006198,GO:0004115,GO:0016787"
230613	"GO:0051258,GO:0043234"
235979	"GO:0008171"
238028	"GO:0005525"
238481	"GO:0005525"
238764	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
242384	"GO:0008270,GO:0005622,GO:0003676"
245981	"GO:0019843,GO:0005622,GO:0003723"
254163	"GO:0007018,GO:0005875,GO:0005524,GO:0003777"
258389	"GO:0016985,GO:0005975,GO:0004553"
260365	"GO:0005525"
261454	"GO:0004030,GO:0004029,GO:0006081,GO:0016491,GO:0008152"
265458	"GO:0005525"
268384	"GO:0016020,GO:0015171,GO:0006865"
268572	"GO:0008170,GO:0006644"
272249	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0007242,GO:0004674"
272390	"GO:0051056,GO:0005622,GO:0005096,GO:0005488"
273965	"GO:0016287,GO:0004366,GO:0008415,GO:0008152"
274131	"GO:0005488"
274660	"GO:0005488"
276419	"GO:0008270,GO:0005515"
276821	"GO:0034062,GO:0003902,GO:0003901,GO:0003900,GO:0003899"
277761	"GO:0005525"
281237	"GO:0008152,GO:0008080"
281483	"GO:0016021,GO:0004659"
281931	"GO:0008270"
282013	"GO:0016788,GO:0006629"
283576	"GO:0004169,GO:0016020,GO:0006493,GO:0000030"
284280	"GO:0003676,GO:0003723,GO:0005488"
290297	"GO:0003824"
296208	"GO:0008233,GO:0006508,GO:0005634"
296977	"GO:0004719,GO:0006464"
298428	"GO:0016629,GO:0016491,GO:0010181"
298680	"GO:0004196,GO:0006508,GO:0004194,GO:0004190"
305896	"GO:0003993"
308908	"GO:0006562,GO:0006537,GO:0004657"
328124	"GO:0003950,GO:0005634"
328266	"GO:0003723,GO:0005488"
331469	"GO:0003938,GO:0003824,GO:0006177"
335225	"GO:0004630,GO:0008152,GO:0003824"
335733	"GO:0019001,GO:0007186,GO:0004871,GO:0007165"
335912	"GO:0000285,GO:0046488,GO:0016307"
338234	"GO:0016020,GO:0006810,GO:0005215"
339165	"GO:0050105,GO:0003885,GO:0050660,GO:0016491,GO:0016020,GO:0016899,GO:0009058,GO:0003824"
339928	"GO:0008202"
341217	"GO:0004012,GO:0016820,GO:0016020,GO:0005524,GO:0016021,GO:0015914,GO:0000287,GO:0015662,GO:0006810"
342492	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
346453	"GO:0008276,GO:0006479"
347876	"GO:0004196,GO:0004193,GO:0006508,GO:0004194,GO:0004190"
348041	"GO:0006464,GO:0006915,GO:0005515"
349274	"GO:0043565,GO:0006355,GO:0005634,GO:0003700"
349618	"GO:0042027,GO:0030051,GO:0004600,GO:0003755,GO:0006457"
352823	"GO:0007165,GO:0005622"
354136	"GO:0051082,GO:0006457,GO:0005524,GO:0044267,GO:0005515"
357977	"GO:0004338,GO:0005975,GO:0004553"
358723	"GO:0004157,GO:0016810"
360246	"GO:0016887,GO:0005524,GO:0017111,GO:0000166"
365741	"GO:0005524,GO:0003677,GO:0004386,GO:0003676,GO:0005488"
366158	"GO:0006284,GO:0004844"
366202	"GO:0032040,GO:0006364"
367046	"GO:0008270,GO:0005515,GO:0003676"
368552	"GO:0006396,GO:0004525,GO:0003723,GO:0005524,GO:0004386,GO:0003676,GO:0008026"
372258	"GO:0004341"
375891	"GO:0007264,GO:0005622,GO:0005525"
376666	"GO:0016491"
379373	"GO:0005488"
386042	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
386256	"GO:0016020,GO:0008324,GO:0006812"
386318	"GO:0005488"
387102	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
388094	"GO:0007264,GO:0005525,GO:0005622,GO:0015031"
388816	"GO:0046983,GO:0043565,GO:0006355,GO:0005634,GO:0003700"
390110	"GO:0004707,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
391451	"GO:0050660,GO:0003824,GO:0016491"
392939	"GO:0030529,GO:0016071"
396055	"GO:0005975,GO:0004553"
397317	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
400333	"GO:0004305,GO:0004103"
400970	"GO:0030117,GO:0016192,GO:0006886,GO:0006461,GO:0005515,GO:0006810"
401183	"GO:0016020,GO:0006810,GO:0005215"
406659	"GO:0019909,GO:0004741"
406950	"GO:0016804,GO:0005737"
409853	"GO:0005524,GO:0003677,GO:0004386,GO:0003676,GO:0043044,GO:0031491,GO:0016585"
410684	"GO:0005524,GO:0004386,GO:0003676,GO:0008026"
411786	"GO:0004455,GO:0016491,GO:0009082"
417871	"GO:0006350,GO:0003899,GO:0044237,GO:0003824,GO:0000166"
418025	"GO:0004489,GO:0006555"
418405	"GO:0004682,GO:0016773,GO:0016772,GO:0005488"
418687	"GO:0008237,GO:0006508,GO:0046983,GO:0016787"
419115	"GO:0016021,GO:0004659"
420390	"GO:0004226,GO:0008237,GO:0006508,GO:0046983,GO:0016787"
422689	"GO:0006413,GO:0005737,GO:0003743,GO:0003723"
423267	"GO:0006355,GO:0005634"
424487	"GO:0008270,GO:0005515"
424597	"GO:0016810,GO:0005975,GO:0003824"
425556	"GO:0003756"
426649	"GO:0005952,GO:0004691,GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
427966	"GO:0050152,GO:0016810,GO:0006807"
431519	"GO:0018658"
436833	"GO:0050660,GO:0016491,GO:0016021,GO:0006118,GO:0005506"
437791	"GO:0017111,GO:0000166,GO:0005524"
438378	"GO:0046547,GO:0008168,GO:0008152"
438756	"GO:0005525"
439677	"GO:0008270,GO:0005515"
442900	"GO:0006468,GO:0005524,GO:0004672,GO:0004674"
446283	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
446394	"GO:0008104"
447385	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
447549	"GO:0016787"
448164	"GO:0007242"
449772	"GO:0050662,GO:0044237,GO:0003824"
455862	"GO:0034062,GO:0003902,GO:0003901,GO:0003900,GO:0003899,GO:0006350,GO:0003677"
456074	"GO:0016491,GO:0008152"
457951	"GO:0008270,GO:0005622,GO:0003676"
458496	"GO:0047911,GO:0005975,GO:0004650"
463077	"GO:0003879"
464098	"GO:0006810"
464305	"GO:0008152,GO:0008080"
466760	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
471819	"GO:0003676"
497146	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
499491	"GO:0006355,GO:0000160,GO:0000156,GO:0005524,GO:0016020,GO:0007165,GO:0000155,GO:0018106,GO:0004673,GO:0004871"
499901	"GO:0006725,GO:0006118,GO:0004497"
499995	"GO:0005952,GO:0004691,GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
501491	"GO:0006725,GO:0006118,GO:0004497"
502291	"GO:0005515"
502416	"GO:0005515"
502545	"GO:0008270"
503140	"GO:0005515"
503151	"GO:0016780,GO:0016020,GO:0008654"
504161	"GO:0005524,GO:0003677"
504434	"GO:0033919,GO:0005975,GO:0004553,GO:0030246,GO:0003824"
505359	"GO:0004287,GO:0008236,GO:0006508"
507478	"GO:0004727,GO:0004725,GO:0006470,GO:0016791,GO:0016311"
508036	"GO:0008270,GO:0005622,GO:0003676"
508127	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
511834	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
513682	"GO:0005488"
515639	"GO:0006464"
519600	"GO:0006468,GO:0005524,GO:0004672,GO:0004674"
519610	"GO:0016021,GO:0008324,GO:0006812"
519714	"GO:0016021,GO:0008324,GO:0006812"
523686	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
524826	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
525585	"GO:0035091,GO:0007154,GO:0005515"
526035	"GO:0003878"
528819	"GO:0005525"
528982	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
529732	"GO:0016491,GO:0005507"
530021	"GO:0004337,GO:0004311,GO:0004161,GO:0008299"
531727	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
535815	"GO:0008270,GO:0005622,GO:0003676"
538658	"GO:0005524,GO:0004386,GO:0003676"
538890	"GO:0005524,GO:0004386,GO:0003676"
547583	"GO:0006468,GO:0005524,GO:0004672,GO:0004674"
548147	"GO:0008900,GO:0005391,GO:0016020,GO:0015662,GO:0006810,GO:0005524,GO:0006812,GO:0016820"
548647	"GO:0030833,GO:0005856"
548875	"GO:0005488"
549050	"GO:0005488"
550986	"GO:0016020,GO:0006810,GO:0005215"
551873	"GO:0008152,GO:0003951"
552338	"GO:0008026,GO:0005524,GO:0003676,GO:0004386,GO:0006396,GO:0004525,GO:0003723"
555822	"GO:0008152,GO:0008080"
555834	"GO:0004526"
556006	"GO:0006334,GO:0005634,GO:0003677,GO:0000786"
558162	"GO:0005515"
558643	"GO:0016491,GO:0010181"
560877	"GO:0008270,GO:0005515"
561625	"GO:0032040,GO:0006364"
561804	"GO:0008026,GO:0005524,GO:0003676,GO:0004386"
563919	"GO:0006355,GO:0005634,GO:0003700"
563973	"GO:0042254,GO:0030529"
565512	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
570789	"GO:0005525"
570897	"GO:0030983,GO:0006298,GO:0005524,GO:0032302,GO:0032301"
572015	"GO:0033709,GO:0016491,GO:0008270"
572076	"GO:0006694,GO:0003854"
579814	"GO:0008573"
581691	"GO:0003935,GO:0009231"
582679	"GO:0008270,GO:0005622,GO:0003676"
582704	"GO:0008270,GO:0005622,GO:0003676"
583692	"GO:0003955,GO:0016481,GO:0010181,GO:0016491"
588187	"GO:0004455,GO:0016491,GO:0009082"
601099	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
607414	"GO:0004682"
609416	"GO:0005622,GO:0003779"
610405	"GO:0016021"
611687	"GO:0050660,GO:0016627,GO:0008152,GO:0006118,GO:0003995"
611893	"GO:0004515,GO:0000309,GO:0016779,GO:0009435,GO:0009058,GO:0003824"
611914	"GO:0046983,GO:0043565,GO:0006355,GO:0005634,GO:0003700"
612139	"GO:0019131,GO:0008236,GO:0006508,GO:0004289"
620833	"GO:0008270"
620996	"GO:0005525"
621055	"GO:0005525"
622198	"GO:0045449,GO:0030528,GO:0005634"
622275	"GO:0008486,GO:0016787"
626812	"GO:0006887,GO:0000145"
627052	"GO:0008270"
632256	"GO:0005525"
632430	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
632651	"GO:0005525"
632693	"GO:0005525"
640713	"GO:0003968"
641285	"GO:0016020,GO:0008519,GO:0006810"
655693	"GO:0005525"
666501	"GO:0008806,GO:0016787"
679858	"GO:0003824,GO:0016787,GO:0008270"
680008	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
680592	"GO:0008700,GO:0016829,GO:0008152"
680931	"GO:0016021,GO:0008643,GO:0005351,GO:0000139,GO:0015780,GO:0005338"
681110	"GO:0005524,GO:0004386,GO:0003676,GO:0003677"
683645	"GO:0047639,GO:0050660,GO:0016614,GO:0006066"
684074	"GO:0047639,GO:0016614"
688642	"GO:0005488"
688813	"GO:0005622"
692041	"GO:0016740"
694598	"GO:0016021,GO:0006810,GO:0005215"
695217	"GO:0016829,GO:0000287"
696711	"GO:0033961"
699099	"GO:0004193,GO:0004192,GO:0006508,GO:0004194"
699260	"GO:0016020,GO:0015931,GO:0015205"
699715	"GO:0004192,GO:0006508,GO:0004194,GO:0004190"
700602	"GO:0005515"
703417	"GO:0006629,GO:0004806"
705700	"GO:0016021"
709559	"GO:0004622,GO:0008152,GO:0009395,GO:0004620"
709621	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
710120	"GO:0003993"
715023	"GO:0005524,GO:0017111,GO:0000166"
716876	"GO:0016559,GO:0005778"
720603	"GO:0043565,GO:0005622,GO:0003677"
720640	"GO:0030529,GO:0016071"
721341	"GO:0006118,GO:0003995,GO:0016627,GO:0008152,GO:0050660"
721665	"GO:0004128,GO:0016491,GO:0006118"
728999	"GO:0046983,GO:0043565,GO:0006355,GO:0005634,GO:0003700"
729386	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
729410	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
731573	"GO:0009269"
734315	"GO:0004784"
734508	"GO:0051276,GO:0005694,GO:0005524,GO:0005515,GO:0006259"
736725	"GO:0004715,GO:0004682,GO:0006468,GO:0005524,GO:0004713,GO:0004672"
737368	"GO:0007010,GO:0003779,GO:0005488"
737911	"GO:0004727,GO:0004725,GO:0008272,GO:0004792"
738058	"GO:0003723"
740557	"GO:0005488,GO:0016070,GO:0005515"
742919	"GO:0004622"
745306	"GO:0008270,GO:0003676"
749222	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
750172	"GO:0006888,GO:0005801,GO:0006810"
750241	"GO:0008270,GO:0005515,GO:0007067"
750671	"GO:0008233,GO:0006508"
752098	"GO:0008270,GO:0005515"
752903	"GO:0016020,GO:0015171,GO:0006865,GO:0016021"
752907	"GO:0016020,GO:0015171,GO:0006865,GO:0016021"
753728	"GO:0045449,GO:0030528,GO:0005634"
754309	"GO:0016887,GO:0005524,GO:0017111,GO:0000166"
760309	"GO:0030983,GO:0006298,GO:0005524"
760809	"GO:0016491,GO:0005507"
762656	"GO:0006350"
762919	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
764127	"GO:0016787,GO:0008152"
764228	"GO:0016021,GO:0015299,GO:0006885"
768530	"GO:0003723"
768768	"GO:0016491,GO:0005507"
775758	"GO:0003676"
776986	"GO:0008466,GO:0016758,GO:0016051"
781624	"GO:0008270,GO:0005515"
781677	"GO:0004196,GO:0006508,GO:0004194,GO:0004190"
781879	"GO:0004196,GO:0006508,GO:0004194,GO:0004190"
782630	"GO:0047558,GO:0047427,GO:0000257,GO:0016810,GO:0006807"
782880	"GO:0034061,GO:0003887"
782906	"GO:0004709"
783123	"GO:0004709,GO:0006468,GO:0005524,GO:0004672,GO:0004674"
783975	"GO:0050658,GO:0006913,GO:0005643"
784313	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
792802	"GO:0004608,GO:0000773,GO:0008170,GO:0006644"
792999	"GO:0016491,GO:0009331,GO:0006072,GO:0004368"
795485	"GO:0005525,GO:0003924"
796625	"GO:0008270,GO:0003676"
799790	"GO:0005525"
804457	"GO:0003922"
819250	"GO:0051082,GO:0031072,GO:0006457"
819438	"GO:0006725,GO:0006118,GO:0004497"
819475	"GO:0006413,GO:0003743,GO:0006446,GO:0005488"
820253	"GO:0016491"
820420	"GO:0005525"
820426	"GO:0005525"
821494	"GO:0004072,GO:0008652"
821845	"GO:0008270,GO:0005622,GO:0003676,GO:0005634"
830313	"GO:0016491"
830471	"GO:0008422,GO:0005975,GO:0004553"
831549	"GO:0004157,GO:0016810"
832207	"GO:0016491,GO:0008152"
836878	"GO:0045449,GO:0030528,GO:0005634"
838421	"GO:0000166"
839677	"GO:0005524,GO:0004386,GO:0003676,GO:0017111,GO:0000166,GO:0008026"
840136	"GO:0016564,GO:0006808"
840460	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
841408	"GO:0016314,GO:0004727,GO:0004725,GO:0017023,GO:0017020,GO:0017018,GO:0008597,GO:0008420,GO:0005963,GO:0004724,GO:0004723,GO:0004721,GO:0016791,GO:0016311"
841572	"GO:0004258,GO:0004186,GO:0006508,GO:0004185"
842149	"GO:0006308,GO:0004519,GO:0003676,GO:0016788"
844640	"GO:0004682,GO:0006468,GO:0004674,GO:0005524,GO:0004672"
844652	"GO:0004682,GO:0005488,GO:0016773"
845660	"GO:0008171"
846749	"GO:0006629,GO:0004806"
847684	"GO:0004309,GO:0016462,GO:0005737,GO:0030145,GO:0016787"
851427	"GO:0006725,GO:0006118,GO:0004497"
865167	"GO:0004121,GO:0003962,GO:0030170,GO:0006520"
870656	"GO:0008696"
871076	"GO:0016020,GO:0006810,GO:0016021,GO:0006865,GO:0015171"
885671	"GO:0005488"
885875	"GO:0005488"
898225	"GO:0019131,GO:0006508,GO:0004289,GO:0008236"
899869	"GO:0005524,GO:0004386,GO:0003676,GO:0008026"
901318	"GO:0006464"
903407	"GO:0006355,GO:0005634"
903540	"GO:0004682"
904334	"GO:0008270,GO:0005515"
907337	"GO:0016888"
907399	"GO:0008120"
907910	"GO:0008451"
909883	"GO:0005488,GO:0016070,GO:0005515"
910564	"GO:0004017,GO:0019201,GO:0016776,GO:0006139,GO:0005524,GO:0019205"
912812	"GO:0050613,GO:0016020"
914139	"GO:0016020,GO:0015171,GO:0006865"
914182	"GO:0016491,GO:0005507"
915072	"GO:0008152,GO:0003824"
916612	"GO:0006725,GO:0006118,GO:0004497"
918321	"GO:0018662,GO:0006725,GO:0006118,GO:0004497"
919891	"GO:0006950"
921551	"GO:0032115"
921590	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
921778	"GO:0005524"
945085	"GO:0007264,GO:0005622,GO:0005525"
945743	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
946039	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
953133	"GO:0003997,GO:0006118,GO:0003995,GO:0016627,GO:0008152"
953525	"GO:0018658,GO:0006725,GO:0006118,GO:0004497"
954572	"GO:0009021,GO:0004768,GO:0046914,GO:0020037,GO:0016020,GO:0006633,GO:0005783,GO:0005506,GO:0016491"
955497	"GO:0016021,GO:0006950"
955622	"GO:0005488"
956748	"GO:0016021,GO:0004659"
957257	"GO:0016491,GO:0008152"
957791	"GO:0016021,GO:0004659"
959789	"GO:0004682,GO:0006468,GO:0005524,GO:0004713,GO:0004672"
966237	"GO:0004358,GO:0004042,GO:0006526"
967745	"GO:0016021,GO:0006481,GO:0004671"
972601	"GO:0046923,GO:0016021,GO:0006621"
973314	"GO:0008270,GO:0005622,GO:0003676"
973385	"GO:0016763"
974065	"GO:0016972"
974689	"GO:0005515"
974839	"GO:0047911,GO:0005975,GO:0004650"
976350	"GO:0008324,GO:0006812,GO:0016021,GO:0015079,GO:0006813"
978603	"GO:0050660,GO:0016491,GO:0003824"
987226	"GO:0016020,GO:0005515,GO:0005509"
987368	"GO:0005515"
987914	"GO:0005515"
993085	"GO:0006468,GO:0005524,GO:0004672,GO:0004674"
995992	"GO:0016804,GO:0005737"
996514	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
1001763	"GO:0016021,GO:0006825,GO:0005375"
1002117	"GO:0004187,GO:0006508,GO:0004185"
1004640	"GO:0008696,GO:0008152,GO:0003824"
1005044	"GO:0006810,GO:0005622"
1007132	"GO:0004474,GO:0006097,GO:0003824"
1007373	"GO:0045449,GO:0030528,GO:0005634"
1008190	"GO:0008270,GO:0003676"
1008664	"GO:0018738"
1012540	"GO:0006468,GO:0005524,GO:0004713,GO:0005525,GO:0004672"
1012686	"GO:0006468,GO:0005524,GO:0004713,GO:0004672"
1014473	"GO:0016021,GO:0004659"
1014614	"GO:0016192,GO:0016020,GO:0005515"
1016144	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
1016520	"GO:0008270,GO:0005622,GO:0003676"
1017945	"GO:0005525,GO:0003924"
1020866	"GO:0009000,GO:0008152"
1021969	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
1025941	"GO:0017176,GO:0016021,GO:0006506"
1026877	"GO:0003676"
1027008	"GO:0003993"
1027486	"GO:0005634"
1028332	"GO:0047639,GO:0050660,GO:0016614"
1029113	"GO:0005488"
1031935	"GO:0016021,GO:0006481,GO:0004671"
1032295	"GO:0008270"
1033960	"GO:0003676"
1034094	"GO:0003993"
1034266	"GO:0048500,GO:0008312,GO:0006614"
1037358	"GO:0005515"
1039273	"GO:0016787"
1040835	"GO:0006338,GO:0000228"
1041320	"GO:0008270,GO:0003676"
1051435	"GO:0016020,GO:0005509"
1054308	"GO:0004254,GO:0008236,GO:0006508"
1054768	"GO:0006464"
1056281	"GO:0050660,GO:0016491"
1057098	"GO:0008152,GO:0003824,GO:0016788,GO:0009058"
1059313	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004713"
1059525	"GO:0003824"
1060533	"GO:0030246,GO:0005975,GO:0005576,GO:0004553"
1060651	"GO:0016491,GO:0006118"
1063951	"GO:0008171"
1064029	"GO:0008171"
1065249	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
1065982	"GO:0004251,GO:0008235,GO:0006508,GO:0030145,GO:0008451"
1066219	"GO:0045482"
1067467	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
1067879	"GO:0005634,GO:0008270"
1069538	"GO:0003676,GO:0006397"
1073797	"GO:0016020,GO:0006810,GO:0005215,GO:0016021"
1075508	"GO:0016021,GO:0006865,GO:0016020,GO:0015171"
1087553	"GO:0006468,GO:0005524,GO:0004672,GO:0004674"
1088175	"GO:0032312,GO:0008270,GO:0008060"
1091167	"GO:0047472,GO:0003824,GO:0019619"
1092848	"GO:0005524"
1094622	"GO:0008270,GO:0005622,GO:0003676"
1106475	"GO:0004586,GO:0003824"
1107399	"GO:0004196,GO:0006508,GO:0004194,GO:0004190"
1107402	"GO:0004196,GO:0006508,GO:0004194,GO:0004190"
1107814	"GO:0015934,GO:0006412,GO:0003735,GO:0005840"
1108443	"GO:0016021,GO:0015299,GO:0006885"
1110267	"GO:0004526,GO:0008033,GO:0004540,GO:0016070,GO:0005634"
1115482	"GO:0043565,GO:0008270,GO:0006355,GO:0005634,GO:0003700"
1119261	"GO:0008270,GO:0005622,GO:0003676"
1119560	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
1119781	"GO:0008270,GO:0005622,GO:0003676"
1121268	"GO:0051258,GO:0043234,GO:0005525,GO:0003924"
1121927	"GO:0016020,GO:0006810,GO:0005215"
1122585	"GO:0008270,GO:0005622,GO:0003676"
1122611	"GO:0008270,GO:0005622,GO:0003676"
1122933	"GO:0008270,GO:0005622,GO:0003676"
1126516	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
1130978	"GO:0016491,GO:0005507"
1135186	"GO:0008270,GO:0006355,GO:0005634,GO:0003700,GO:0006350,GO:0003677"
1137770	"GO:0005488"
1139583	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0005525"
1139725	"GO:0006468,GO:0005524,GO:0004672,GO:0004713"
1140594	"GO:0003676"
1143221	"GO:0008270,GO:0006355,GO:0005634,GO:0003700"
1143687	"GO:0006914,GO:0005737"
1144348	"GO:0005524,GO:0004386,GO:0003676,GO:0008026"
1144366	"GO:0008270,GO:0005622,GO:0003676"
1147831	"GO:0004682,GO:0006468,GO:0005524,GO:0004672,GO:0004713"
1148340	"GO:0008422,GO:0005975,GO:0004553"
1148915	"GO:0008270"
1149407	"GO:0005525"
1151320	"GO:0003993"
1157377	"GO:0008270,GO:0005622,GO:0003676"
1161883	"GO:0005525"
1163466	"GO:0003677"
1168166	"GO:0003676"
1169071	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
